以下是我现有的因子库，我需要增加一些由国泰君安提出的因子，适用范围是“大盘-小盘”。如果国泰君安新提出的因子已经在表格里出现，但使用机构{1,2,3,4,5}内还没有国泰君安，就在使用机构列里加一个国泰君安，如果已经有国泰君安，就直接更新下一个因子。增加新因子时，需判断其因子类别。我会把这个任务要求和任务内容和你说两遍，方便你再读一遍确认。如果新出现的因子适用范围和原表格不一样，但计算方式一样，或者是同一个因子，就视作是已经出现过相同的因子，同样判断后面使用机构里有没有国泰君安。如果本来表格里有这个指标，但是没有括号里的结果，就在原来的指标后面加上结果，再检查机构名称。

【现有的表格】
适用范围	因子类别	基础数据	因子名称	使用机构1	使用机构2	使用机构3	使用机构4	使用机构5
大盘-小盘	宏观经济类	M1	M1同比平滑值环比下降	财通证券				
大盘-小盘	市场类	量价	大盘价格分位点高于小盘	财通证券				
大盘-小盘	市场类	换手率	大盘换手率短期均值低于长期均值	财通证券				
大盘-小盘	资金类	资金流向	两融余额过去一年分位点高于50	财通证券				
大盘-小盘	市场类	Beta	Beta离散度：每日个股与上证指数24个月的月度收益率Beta90%分位数与10%分位数的差值的月度差分，过去12个月Beta离散度的分位数和50%的差	招证资配				
大盘-小盘	估值类	PB	PB估值分化度：每日所有A股的PB_LF的离差（Mad）与中位数（Median）的比值，作为日度PB分化度指标；2）取滚动20个交易日的日度分化度指标的同比（上行或下行）	招证资配				
大盘-小盘	估值类	估值价差	风格间PB中位数之商	国泰君安				
大盘-小盘	市场类	波动率	每日所有股指期权VIX与实际波动率的差值，称为期权波动率风险溢价；2）计算过去1年所有股指期权波动率风险溢价的分位数；3）取所有分位数的均值作为当日期权波动率风险溢价综合分位数，和50%作差（择时表现一般）	招证资配				
大盘-小盘	资金类	资金流向	龙虎榜高影响力非机构买入强度：1）每季度末确定主力非机构席位：“近1年上榜次数≥12，买入上榜次数≥3，卖出上榜次数≥3”的非机构席位（非机构专用、非沪股通专用、非深股通专用）；2）计算每个筛选后非机构席位的“买入后次日平均涨跌幅”、“买入后5日平均涨跌幅”、“买入后次日上涨概率”、“买入后5日上涨概率”，对这4个指标分别在截面上求分位数，然后取均值记为“席位买入影响力”；3）计算每个筛选后非机构席位的“卖出后次日平均涨跌幅”、“卖出后5日平均涨跌幅”、“卖出后次日下跌概率”、“卖出后5日下跌概率”，对这4个指标分别在截面上求分位数，然后取均值记为“席位卖出影响力”；4）记“买入影响力”与“卖出影响力”同时大于50%的席位为“主力非机构席位”。5）计算过去20个交易日，所有“主力非机构席位”的龙虎榜买入金额与卖出金额之和，记买入金额与卖出金额的比值为“买入强度”。龙虎榜高影响力非机构买入强度60日分位数大于50%则看多小盘，小于50%则看多大盘，当日可给出信号。（择时表现一般）	招证资配				
大盘-小盘	市场类	情绪指标	小盘主题投资交易情绪：【高涨幅小盘股占比×主题交易情绪指标】的20个交易日均值的20日分位数和50%的差值，高涨幅小盘股占比=每日收盘涨幅在 5% 以上的个股中，流通市值在 100 亿以下的个股占比，主题交易情绪指标=100%-高涨幅个股的申万三级行业个数/高涨幅个股数量	招证资配				
大盘-小盘	市场类	溢价率	小盘大宗交易折溢价率（每日每个股票的大宗交易折溢价率，若有多笔则按成交额加权汇总，根据自由流通市值加权计算小盘股（流通市值≤100亿）大宗交易折溢价率）60日分位数和50%的差值，（大宗交易在盘后半小时内完成，所以信号在下一交易日发出）	招证资配				
大盘-小盘	市场类	量价	中证1000标准化交易量能指标：计算中证1000指数的成交额与换手率滚动60日均值和标准差，若当日成交额与标准差在±2×标准差之间，则按-1~+1映射打分；若高于/低于±2×标准差，则打+1/-1分；等权合成成交额与换手率得分	招证资配				

【国泰君安提出的新因子】
5日持股比例变动
60日持股比例变动
5日净流入
60日净流入
单季度扣非净利润同比增长率
单李度归母净利润同比增长率
单季度营业利润同比增长率
单季度营业收入同比增长率
单季度扣非ROA变动
单季度归母ROA变动
单季度扣非ROE变动
单季度归母ROE变动
分析师覆盖度
分析师预测目标价收益率
过去90日机构最新盈利预测调整幅度
市净率倒数
PCF倒数
EBIT2EV
市盈率(扣非)倒数
市盈率(归母)倒数
单季度EP(营业利润)倒数
单季度SP
总市值
股息率
5日交易金额/波动率
20日特质波动率
3个月换手率标准差
20日日内收益
60日信息比率
一个月涨跌幅
20日日均交易金额
1个月自由流通换手率
1个月换手率
3个月换手率
标准化预期外单季度扣非净利润
标准化预期外单季度扣非净利润-带漂移项
标准化预期外单季度归母净利润-带漂移项
标准化预期外单季度营业收入-带漂移项
标准化预期外单季度归母净利润
标准化预期外单季度营业收入
单季度GPOA
净经营资产收益率
单季度扣非ROA
单季度扣非ROE
单季度归母ROA
单季度归母ROE
市场整体换手率
社融/M2（一致预期）
（PMI库存-50）-（PMI生产-50）
波动率调和加权的通胀-（PMI-50）
美债实际利率
CPI-PPI（一致预期）
